Product ID,Product Title,Product Handle,Product Status,Product URL,Image URL,Variant IDs,SKUs,Price (EUR),Stock Qty,Qty Sold 2026-06,Sales Status,Last Order Date
15473910579465,Pendelleuchte Würfel mit Metall Käfig E27 Fassung~3501,1-3-flammige-schwarze-quadratische-cluster-pendelleuchte,ACTIVE,https://ledsone.de/products/1-3-flammige-schwarze-quadratische-cluster-pendelleuchte,https://cdn.shopify.com/s/files/1/0414/9864/0551/files/1768988383_69709edf5e242.webp?v=1768988399,56770527068425; 56770527035657; 56770527133961; 56770527101193; 56770527199497; 56770527166729,CRSF100BM+WCSC1BM; CRSF100BM+WCSC1BM+LDCWE2712; CRSF2003BM+WCSC1BM3PK; ENC1260; CRFF500BM+WCSC1BM3PK; CRFF500BM+WCSC1BM3PK+LDCWE27123PK,17.42-47.46,320,0,NO SALES,NEVER (since 2023-01-01)
5480980054183,LED Treiber 1-3W 300mA Konstantstrom Kompakt Netzteil ~1108,1-3w-300ma-kompakter-konstantstrom-led-treiber,ACTIVE,https://ledsone.de/products/1-3w-300ma-kompakter-konstantstrom-led-treiber,https://cdn.shopify.com/s/files/1/0414/9864/0551/files/CCBKNWE3.jpg?v=1771318320,35213252231335,CCBKNWE3-IDE,3.78,0,0,NO SALES,2026-04-02
7998061773065,Netzteil 3W LED Treiber Konstantstrom 12V 300mA ~2430,1-3w-led-treiber-konstantstrom-300-ma-2-12v-dc-nicht-dimmbar,ACTIVE,https://ledsone.de/products/1-3w-led-treiber-konstantstrom-300-ma-2-12v-dc-nicht-dimmbar,https://cdn.shopify.com/s/files/1/0414/9864/0551/files/CCBKNWE3_4bd7c767-9196-45c8-9a13-985d8249344b.jpg?v=1709371257,43629475561737,CCBKNWE3-IDE,4.78,0,0,NO SALES,2026-04-13
15506838847753,Ledsone 1 Flammige Deckenleuchte Alpenstil ~3560,1-flammige-deckenleuchte,ACTIVE,https://ledsone.de/products/1-flammige-deckenleuchte,https://cdn.shopify.com/s/files/1/0414/9864/0551/files/1772249649_69a2623196e54.webp?v=1772249653,56850137940233; 56850138333449; 56850137874697; 56850137907465; 56850138169609; 56850138202377; 56850138235145; 56850138267913; 56850138300681,CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290WH; CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290BL; CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290BM; CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290BI; CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290GY; CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290OR; CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290GR; CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290YE; CRSF100YB+LHNSE27YB+SCRN70YB+LSCY290RE,17.04,72,1,1 SALE,2026-07-03
9238685745417,Küchen Pendelleuchte für Insel & Esstisch~3130,1-kopf-weg-metalldrahtkafig-verstellbares-kabel-e27-pendelleuchte,ACTIVE,https://ledsone.de/products/1-kopf-weg-metalldrahtkafig-verstellbares-kabel-e27-pendelleuchte,https://cdn.shopify.com/s/files/1/0414/9864/0551/files/h_henverstellbare_pendelleuchte_k_che.webp?v=1775727717,48286593188105; 48286593155337,CRSF100BM+PHSH1PBRYB+WCLNBM-IDE; CRSF100BM+PHSH1PBRYB+WCLNBM+ICST64E27-IDE,46.55-57.35,112,0,NO SALES,NEVER (since 2023-01-01)
6553840058535,1m verdrilltes Kabel &  Kupfer Lampenhalterung Pendelleuchten~1431,1-m-braunes-verdrilltes-kabel-e27-base-copper-holder,ACTIVE,https://ledsone.de/products/1-m-braunes-verdrilltes-kabel-e27-base-copper-holder,https://cdn.shopify.com/s/files/1/0414/9864/0551/files/57__68__1779425492_6a0fe0d4f0051.jpg?v=1779425496,39336350482599,PHSF1BRTCO-IDE,11.45,0,0,NO SALES,2024-06-22
6553840255143,E27 Sockel satinierter Nickel Anhänger 1 m langes gedrehtes Schwarz Weiß Kabel Deckenrosette Hängelampe~1432,1-m-schwarz-weiss-verdrilltes-kabel-e27-base-satin-nickel-holder,ACTIVE,https://ledsone.de/products/1-m-schwarz-weiss-verdrilltes-kabel-e27-base-satin-nickel-holder,https://cdn.shopify.com/s/files/1/0414/9864/0551/products/SatinNikelTwistedPendantLight1m.jpg?v=1614838277,39336352776359,PHSF1BWTSN-IDE,11.46,5,0,NO SALES,2023-04-01
8372290978057,"Funktional: 1 m Textilgewebekabel (2-adrig, 0,75 mm²) für Lampen ~2760",1-m-textilkabel-2-adrig-0-75-mm-fur-lampen,ACTIVE,https://ledsone.de/products/1-m-textilkabel-2-adrig-0-75-mm-fur-lampen,https://cdn.shopify.com/s/files/1/0414/9864/0551/files/1641-3_3_11zon_3_11zon.webp?v=1701412480,44794412761353; 44794412794121; 44794412826889,CL2RIV-IDE; CL2RIV5PK-IDE; CL2RIVAPK-IDE,4.39-22.59,0,0,NO SALES,2024-04-04
5500470722727,"1m LED Wandleuchte Kabel,2-adrig Rosa Textil, 2x0,75mm²~1155",1-meters-2-core-round-shiny-pink-italian-vintage-coloured-0-75,ACTIVE,https://ledsone.de/products/1-meters-2-core-round-shiny-pink-italian-vintage-coloured-0-75,https://cdn.shopify.com/s/files/1/0414/9864/0551/products/16-copy.jpg?v=1594965662,44794684244233; 44794684277001; 44794684309769,CL2RSI-IDE; CL2RSI5PK-IDE; CL2RSIAPK-IDE,3.19-28.19,0,0,NO SALES,NEVER (since 2023-01-01)
15517452763401,1 phasen schienensystem pendelleuchte mit langem kabel 2m ~3580,1-phasen-schienensystem-pendelleuchte,ACTIVE,https://ledsone.de/products/1-phasen-schienensystem-pendelleuchte,https://cdn.shopify.com/s/files/1/0414/9864/0551/files/3_additional_1_1755842037_68a805f54d2cd_4f2d61cd-5ac9-499c-b897-31b4e98b78d6.jpg?v=1773654902,56887246225673; 56887246258441; 56887246291209; 56887248060681; 56887248093449; 56887295836425,ENC7904; ENC4428; ENC4429; ENC4430; ENC4431; ENC4427,22.17,0,0,NO SALES,NEVER (since 2023-01-01)
